trial_number,value,state,parameters.history_length,parameters.units,parameters.num_layers,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
30,0.3787205289294688,COMPLETE,42,136,6,0.34512362368591054,148,0.00043473662166902715,0.0015915803943138997
31,0.3787205289294688,COMPLETE,45,104,5,0.3881947259506168,342,0.0003164939738006437,0.0008241653000947872
32,0.3787205289294688,COMPLETE,57,94,3,0.23808008075692474,358,0.00029262624100156136,0.001184212449164789
33,0.3787205289294688,COMPLETE,100,172,5,0.27107767790263176,316,0.00024643981131607746,0.00022647910751813117
34,0.3787205289294688,COMPLETE,38,149,4,0.40540885976750624,365,0.0006024416810778305,0.0003822654004461951
35,0.3787205289294688,COMPLETE,67,65,7,0.22377525969461912,196,0.00026697924711350016,0.00404103023207709
36,0.3787205289294688,COMPLETE,80,360,2,0.26925232127290777,86,0.0004486273909911726,0.0009205993460515822
37,0.3787205289294688,COMPLETE,47,206,5,0.2950527943260824,178,0.00037490951484004254,0.00013923239249207775
38,0.3787205289294688,COMPLETE,54,135,6,0.34928613892390625,283,0.0005445751262878727,0.0028633065984043716
39,0.3787205289294688,COMPLETE,93,115,10,0.49672011225451274,340,0.0007410676322571651,0.006994379538319026
40,0.3787205289294688,COMPLETE,110,178,7,0.40347059031324145,246,0.0014509002791330532,0.0016750084904010565
41,0.3787205289294688,COMPLETE,127,85,8,0.22410195519258147,81,0.0019507480887394828,0.0052638201109843396
42,0.3787205289294688,COMPLETE,96,146,8,0.20159799688089655,112,0.0016599618304959426,0.0062809138006692045
43,0.3787205289294688,COMPLETE,118,79,7,0.2524976633713134,84,0.0011264444025080632,0.0011219248769313048
44,0.3787205289294688,COMPLETE,130,240,8,0.21966611970925448,67,0.0017691411450346784,0.0003448927082959153
45,0.3787205289294688,COMPLETE,74,110,9,0.32580579271341525,210,0.0013953107165875066,0.0002594372836984771
46,0.3787205289294688,COMPLETE,108,276,8,0.3883629114923733,145,0.000320745055684123,0.008455892276653101
47,0.3787205289294688,COMPLETE,85,130,7,0.4555899593130194,118,0.00023823716616203045,0.00013396547525280748
48,0.3787205289294688,COMPLETE,120,92,4,0.30815446853478584,313,0.0011287828403235827,0.00010137537825952201
49,0.3787205289294688,COMPLETE,37,366,6,0.361658320108061,269,0.00020983433826287298,0.00048299397007082925
50,0.3787205289294688,COMPLETE,77,304,9,0.42275102811370563,153,0.00026152353943765714,0.00020419959154564663
51,0.3787205289294688,COMPLETE,141,165,3,0.4122728585366076,195,0.00027619419476203143,0.0006601066213400216
52,0.3787205289294688,COMPLETE,114,209,2,0.4333892354637827,95,0.000225711437433023,0.00015625794493429897
53,0.3787205289294688,COMPLETE,103,153,2,0.38004277250565377,209,0.0003448739146931159,0.0010368916265259221
54,0.3787205289294688,COMPLETE,55,182,4,0.25810309334713055,176,0.00030757051543288665,0.0013766659394963778
55,0.3787205289294688,COMPLETE,125,334,8,0.46338646732154304,244,0.0004091512172946412,0.0029685567693811215
56,0.3787205289294688,COMPLETE,133,122,6,0.23779641052127026,216,0.0008628637479922773,0.00954593976521742
57,0.3787205289294688,COMPLETE,112,345,5,0.28183679464627126,382,0.0002539765089578451,0.0018496399639958223
58,0.3787205289294688,COMPLETE,69,218,3,0.3983905889677954,119,0.0017332831867369254,0.0005404283477297394
59,0.3787205289294688,COMPLETE,62,193,7,0.32874955989594656,135,0.0004693475166177189,0.00031891765516837636
60,0.3787205289294688,COMPLETE,121,67,5,0.3713322862423729,237,0.00035579644536340514,0.0007414496365923834
61,0.3787205289294688,COMPLETE,32,380,4,0.3591296251192969,163,0.0006747351387586437,0.0013240406137460872
62,0.3787205289294688,COMPLETE,45,350,4,0.3051899710462187,194,0.0012928534857649177,0.0023819508583730062
63,0.3787205289294688,COMPLETE,135,323,3,0.39217939204009045,223,0.0014830483537728125,0.0009507737627599221
64,0.3787205289294688,COMPLETE,36,371,4,0.41567328464098763,184,0.0009982715971827635,0.0038361076446479223
65,0.3787205289294688,COMPLETE,40,142,5,0.3761495752769686,367,0.0005237691939575232,0.0006153870536426127
66,0.3787205289294688,COMPLETE,48,354,9,0.4384780254655264,77,0.00038959095403244944,0.001586615997190812
67,0.3787205289294688,COMPLETE,44,163,6,0.3548382981149548,138,0.0019101137235069568,0.00011595989694708973
68,0.3787205289294688,COMPLETE,52,243,2,0.3352336759103759,101,0.0003044763693703224,0.002108083734039138
69,0.3787205289294688,COMPLETE,144,294,7,0.21157023477580797,158,0.0002797888823402819,0.0007582454228195515
70,0.3787205289294688,COMPLETE,104,263,3,0.34447377743713486,174,0.0002292086879178557,0.00024228040619384442
71,0.3787205289294688,COMPLETE,59,372,8,0.47076209425252286,339,0.0006448496435800164,0.005115548084901101
72,0.3787205289294688,COMPLETE,42,382,8,0.4476285862206769,357,0.0007111892730157618,0.008554153146957068
73,0.3787205289294688,COMPLETE,86,359,10,0.4993709873006536,352,0.0008073312586886254,0.006909353091722226
74,0.3787205289294688,COMPLETE,64,336,7,0.4901895254319878,326,0.000920791264017729,0.004803189900586077
75,0.3787205289294688,COMPLETE,49,317,8,0.38217688397417987,372,0.0005820158780408314,0.0011613780237066593
76,0.3787205289294688,COMPLETE,35,109,9,0.3651566786322678,347,0.0007945267859227132,0.007505871136309991
77,0.3787205289294688,COMPLETE,70,128,7,0.3953152508654699,203,0.0003331263546833309,0.004191761292356517
78,0.3787205289294688,COMPLETE,91,86,8,0.40325855629507024,307,0.0016144069177671909,0.005779275513987988
79,0.3787205289294688,COMPLETE,53,361,4,0.26387118352323785,380,0.0012105910373092338,0.00038188102286048584
80,0.3787205289294688,COMPLETE,96,328,5,0.28260176935951437,94,0.0010176997051323828,0.000863063472579218
81,0.3787205289294688,COMPLETE,40,117,2,0.296940873807948,201,0.0004282204554024554,0.008627281708362416
82,0.3787205289294688,COMPLETE,57,96,2,0.3524712606288888,220,0.00036236081554383325,0.00017723984209400018
83,0.3787205289294688,COMPLETE,33,137,3,0.24333546052636332,187,0.00029733112060714603,0.006186954913426708
84,0.3787205289294688,COMPLETE,40,232,2,0.23069528227379424,363,0.000397804694278199,0.0027089432895541243
85,0.3787205289294688,COMPLETE,138,102,8,0.3402048724360588,72,0.00032849581261011536,0.00762111995351278
86,0.3787205289294688,COMPLETE,46,171,6,0.3130744648212471,184,0.000491944501929346,0.0018442491032478422
87,0.3787205289294688,COMPLETE,76,153,3,0.2521639592348706,230,0.0005635220156840417,0.0034486017893348864
88,0.3787205289294688,COMPLETE,43,125,9,0.2136026220123473,124,0.0006326941580855408,0.0014886941841331328
89,0.3787205289294688,COMPLETE,127,194,2,0.3725690927678846,275,0.00021213780052746638,0.0012752693166524166
90,0.3787205289294688,COMPLETE,50,73,7,0.3312511290338297,142,0.0004546789678540244,0.009627355286676721
91,0.3787205289294688,COMPLETE,81,156,6,0.23465416901176814,322,0.0002663571405807096,0.006837869152401956
92,0.3787205289294688,COMPLETE,66,183,5,0.4101030542786258,64,0.0002477920140258136,0.009996283737683735
93,0.3787205289294688,COMPLETE,61,160,8,0.4264731919637342,334,0.0002768226600974654,0.0010255118809298328
94,0.3787205289294688,COMPLETE,57,139,5,0.28339979197600434,172,0.00037521332022904185,0.008204611127091468
95,0.3787205289294688,COMPLETE,37,146,6,0.3185972084400319,260,0.00023584664125666973,0.005698737850383502
96,0.3787205289294688,COMPLETE,55,371,7,0.2438613319009761,297,0.000311618760943095,0.004614563533376169
97,0.3787205289294688,COMPLETE,78,132,4,0.20017050980276796,214,0.00020166865614317254,0.0002930569268384636
98,0.3787205289294688,COMPLETE,72,346,7,0.26340531881115753,188,0.001348463738850334,0.006191567210052274
99,0.3787205289294688,COMPLETE,130,172,3,0.38312049936697434,306,0.000288735995515061,0.007729888609960744
100,0.3787205289294688,COMPLETE,121,113,6,0.22368957830575853,290,0.0005241026118835906,0.0002144385705081844
101,0.3787205289294688,COMPLETE,88,280,10,0.3001167935176712,74,0.0015091686782110723,0.00014535822827707834
102,0.3787205289294688,COMPLETE,98,251,10,0.47642688448697856,96,0.0018638861615770102,0.00012522538105256295
103,0.3787205289294688,COMPLETE,47,292,9,0.4752155596958022,108,0.00025419422874300643,0.0005518931896858211
104,0.3787205289294688,COMPLETE,93,313,5,0.48300781851315844,203,0.0004950996063091024,0.0001874623105363931
105,0.3787205289294688,COMPLETE,86,273,9,0.4593529096424144,252,0.0007072001788908685,0.00010905950709164827
106,0.3787205289294688,COMPLETE,84,201,6,0.49132486159784294,169,0.0011346861843394365,0.00016097499018856497
107,0.3787205289294688,COMPLETE,106,260,4,0.2119896881285501,88,0.0003492348157679986,0.0012049482437941489
108,0.3787205289294688,COMPLETE,117,376,8,0.34650915400904697,351,0.0006761279229088319,0.00045191640687342256
109,0.3787205289294688,COMPLETE,39,365,7,0.36537140800402484,371,0.0007658555902170015,0.0001016127841266331
110,0.3787205289294688,COMPLETE,34,218,2,0.2747832054597797,80,0.0003719098128798873,0.009011248038116024
111,0.3787205289294688,COMPLETE,138,247,10,0.20653759200551025,238,0.0017692025122394751,0.00012283566799448816
112,0.3787205289294688,COMPLETE,130,237,10,0.22941915414446826,317,0.001251316275023388,0.00014531596029245745
113,0.3787205289294688,COMPLETE,144,290,10,0.28968262884215884,332,0.0016642804008516413,0.0010692653632246273
114,0.3787205289294688,COMPLETE,141,383,9,0.21982517027858717,287,0.0014303017769409087,0.00011328339019499051
115,0.3787205289294688,COMPLETE,124,355,9,0.2513460493445234,129,0.0008652734640464711,0.00013227719163270632
116,0.3787205289294688,COMPLETE,90,267,10,0.35841211051712557,157,0.0003167544624123518,0.0009005372283421135
117,0.3787205289294688,COMPLETE,114,256,3,0.3758875677508934,361,0.0015710858011395636,0.0001724498140566395
118,0.3787205289294688,COMPLETE,51,224,8,0.3878344026014484,193,0.00041397544700870633,0.0007695153128739063
119,0.3787205289294688,COMPLETE,43,121,5,0.4504116357152365,208,0.001071872961722094,0.0023758617101684813
120,0.3787205289294688,COMPLETE,133,86,8,0.41949503876485544,345,0.0006044978424167564,0.0014292389892474806
121,0.3787205289294688,COMPLETE,124,301,8,0.3986466041808294,116,0.00026675294515109485,0.00026403331872973997
122,0.3787205289294688,COMPLETE,101,311,8,0.4397999175496276,181,0.001361560914108302,0.0003778799143593952
123,0.3787205289294688,COMPLETE,127,285,6,0.432015893992904,69,0.0011704271082314955,0.0017046599928016192
124,0.3787205289294688,COMPLETE,119,166,7,0.40920950877335704,104,0.0009230397917747075,0.00010016296754643403
125,0.3787205289294688,COMPLETE,94,151,2,0.40303810903250537,377,0.0009715385725594253,0.00033900058297333264
126,0.3787205289294688,COMPLETE,115,328,8,0.3930529489059628,147,0.0007881283508164454,0.00015474633434879215
127,0.3787205289294688,COMPLETE,111,268,4,0.20690143706207814,384,0.0008224622723796454,0.007002747780851184
128,0.3787205289294688,COMPLETE,136,363,9,0.21615903338027748,91,0.00022078434590026394,0.000685478635258364
129,0.3787205289294688,COMPLETE,74,336,5,0.4686103134666649,223,0.001059802615526129,0.00023663532131299882
130,0.3787205289294688,COMPLETE,48,144,7,0.48442569873775077,165,0.0002417760732612661,0.000489790628760366
131,0.3787205289294688,COMPLETE,82,210,8,0.3234862018919017,271,0.0015236862230176582,0.00028195379965849983
132,0.3787205289294688,COMPLETE,78,232,8,0.3391172904795717,264,0.0012798259158473147,0.0033815647113306165
133,0.3787205289294688,COMPLETE,69,252,8,0.3168800016475113,280,0.0018226161168062819,0.000314389237897654
134,0.3787205289294688,COMPLETE,64,342,9,0.3314705404923524,303,0.0016737710994891763,0.00021769537070084137
135,0.3787205289294688,COMPLETE,71,178,8,0.3074730833909785,130,0.000453254687114229,0.0009862315859738371
136,0.3787205289294688,COMPLETE,75,217,7,0.3678675008795036,216,0.0019642562978089617,0.00019596062882246536
137,0.3787205289294688,COMPLETE,45,302,2,0.35092003388850534,197,0.0003383727472350186,0.008980982153931352
138,0.3787205289294688,COMPLETE,79,242,9,0.4147314737034938,354,0.0002979813698010279,0.0002585259547944027
139,0.3787205289294688,COMPLETE,88,108,4,0.38101453334862834,323,0.00028053445899643513,0.0012720629369836513
140,0.3787205289294688,COMPLETE,108,78,3,0.28996223014598466,82,0.0005615899596519883,0.007967495267649278
141,0.3787205289294688,COMPLETE,99,373,10,0.3878121984887472,125,0.0009288855958890874,0.00036468385198427017
142,0.3787205289294688,COMPLETE,102,296,10,0.37613688845687565,155,0.0011878559534049733,0.00040097999672737743
143,0.3787205289294688,COMPLETE,105,273,8,0.3631054340271169,109,0.0013105115111887995,0.00013245068922448496
144,0.3787205289294688,COMPLETE,117,310,9,0.3577470757366475,99,0.0010828332326893472,0.00030904078640828903
145,0.3787205289294688,COMPLETE,96,283,9,0.27642577248147054,134,0.0009699873020190675,0.00011940010580456447
146,0.3787205289294688,COMPLETE,38,355,10,0.22914040149107845,249,0.0014316210421200474,0.00043360495120764296
147,0.3787205289294688,COMPLETE,109,325,8,0.2658636031100968,139,0.0006704625442382878,0.0019532450927039645
148,0.3787205289294688,COMPLETE,122,198,7,0.39684199588309443,259,0.001234868908969475,0.0002759414293135593
149,0.3787205289294688,COMPLETE,68,160,8,0.23866163015065575,235,0.0008337144320613153,0.00024403062207633416
150,0.3787205289294688,COMPLETE,129,133,10,0.20006631633644964,119,0.0002581566882007914,0.0037907385000420005
151,0.3787205289294688,COMPLETE,141,260,7,0.4208854073151992,367,0.0005176624881835734,0.0005309836659435477
152,0.3787205289294688,COMPLETE,138,237,6,0.40241254650461944,378,0.0004211136674555893,0.0003443835209867483
153,0.3787205289294688,COMPLETE,54,248,6,0.45722095987555167,312,0.0006069094696794582,0.0006322767440160578
154,0.3787205289294688,COMPLETE,58,287,8,0.2588569805600612,340,0.0007330834401073071,0.0011376358383012911
155,0.3787205289294688,COMPLETE,41,93,2,0.4640730569991868,373,0.00136227727449467,0.007190683037862655
156,0.3787205289294688,COMPLETE,50,100,5,0.4272077041260549,359,0.0003849726038556496,0.0007920513215783655
157,0.3787205289294688,COMPLETE,142,267,7,0.48760290019685737,206,0.0015872084904863149,0.0015434587406415237
158,0.3787205289294688,COMPLETE,136,276,8,0.47977796215511737,190,0.00043846814087600115,0.0027077776721907694
159,0.3787205289294688,COMPLETE,144,230,9,0.4380386628566668,148,0.00047798987396108455,0.0008639487492033932
160,0.3787205289294688,COMPLETE,36,319,5,0.4946905134330742,65,0.0017402643178043022,0.00020132562958676353
161,0.3787205289294688,COMPLETE,73,350,9,0.2463812033504175,177,0.0002262866705221794,0.00017614360781943934
162,0.3787205289294688,COMPLETE,32,368,10,0.20822947713762222,256,0.0002111418926900083,0.00013934977795906567
163,0.3787205289294688,COMPLETE,71,186,8,0.3704879881356403,265,0.00020476362394466542,0.00010935235308724406
164,0.3787205289294688,COMPLETE,66,308,8,0.2239611989704633,243,0.0002504765353590736,0.00022282723136820965
165,0.3787205289294688,COMPLETE,76,380,9,0.2571494685577942,332,0.00032777899654079257,0.0001524036410438679
166,0.3787205289294688,COMPLETE,91,299,2,0.3116085998515852,78,0.00023440742319132644,0.006418656206054363
167,0.3787205289294688,COMPLETE,112,254,7,0.40692740110254505,367,0.00028901123875417825,0.009919648226368302
168,0.3787205289294688,COMPLETE,133,225,8,0.2483020784586228,213,0.00021838572409616823,0.005442579625682669
169,0.3787205289294688,COMPLETE,82,66,4,0.41425203826947565,227,0.0002709117728304491,0.00012448253324986327
170,0.3787205289294688,COMPLETE,52,140,10,0.23565798838094484,383,0.0003045182226887011,0.00029295901291614827
171,0.3787205289294688,COMPLETE,122,168,6,0.3231793131891936,125,0.0014826170427500094,0.0005766075200850932
172,0.3787205289294688,COMPLETE,126,176,6,0.29081976286513334,113,0.0011253763088232525,0.008322039209739899
173,0.3787205289294688,COMPLETE,115,155,5,0.2979599610218537,291,0.0013019743687796503,0.00048725768847868617
174,0.3787205289294688,COMPLETE,119,331,7,0.30455408851903737,198,0.00034872094494955736,0.0006816857235035378
175,0.3787205289294688,COMPLETE,128,360,8,0.3451228851061997,279,0.0011819319613911607,0.0009887905482686343
176,0.3787205289294688,COMPLETE,131,147,6,0.282811126068011,136,0.0010427257659586973,0.000258003935302002
177,0.3787205289294688,COMPLETE,107,122,5,0.2718231858784109,124,0.00039488377654614234,0.0013245524064783487
178,0.3787205289294688,COMPLETE,123,319,9,0.24185435574033626,162,0.0005517974546613978,0.0001691937726392307
179,0.3787205289294688,COMPLETE,46,214,2,0.39505970851503597,145,0.0011008737008573607,0.0010858617583417334
180,0.3787205289294688,COMPLETE,97,375,7,0.3341410870637417,71,0.0005860770538083268,0.0003257581432917845
181,0.3787205289294688,COMPLETE,80,192,7,0.20439070969254372,273,0.000689612391823746,0.00013227249025429794
182,0.3787205289294688,COMPLETE,74,366,7,0.2115248596070751,319,0.000724271208696394,0.00016175404403751112
183,0.3787205289294688,COMPLETE,86,380,8,0.21686248809850064,300,0.0006566831473658526,0.00010911099851095985
184,0.3787205289294688,COMPLETE,94,339,7,0.47163112785321903,295,0.0007681817482215787,0.00018732730661577052
185,0.3787205289294688,COMPLETE,76,371,3,0.45167111678363675,243,0.0006227485456354149,0.00014418151137304575
186,0.3787205289294688,COMPLETE,84,128,4,0.38725144310204684,286,0.0007015699023692579,0.0011936742958339218
187,0.3787205289294688,COMPLETE,62,349,8,0.22937644924751208,88,0.0013954104161149148,0.00024080966431395002
188,0.3787205289294688,COMPLETE,103,359,10,0.22071033768160483,349,0.0008649570260513547,0.0004157216934276161
189,0.3787205289294688,COMPLETE,140,384,7,0.3153076168742643,329,0.0007592162991473226,0.009057128922536616
190,0.3787205289294688,COMPLETE,43,246,8,0.30382090628227504,307,0.0006437541031602677,0.0002132746137967067
191,0.3787205289294688,COMPLETE,71,200,6,0.4343303467203637,106,0.0019603896236676634,0.00048639551540694773
192,0.3787205289294688,COMPLETE,67,205,9,0.44053269168159426,114,0.0015451544677206443,0.00044238736402375854
193,0.3787205289294688,COMPLETE,57,161,9,0.4214149976880277,130,0.0018672078078331568,0.00036363068074342494
194,0.3787205289294688,COMPLETE,55,183,9,0.3796205191777206,100,0.001668821828831274,0.0003125421938486629
195,0.3787205289294688,COMPLETE,64,237,9,0.4621793820409341,310,0.0017727559794396249,0.0005855049940222326
196,0.3787205289294688,COMPLETE,78,376,10,0.2549668565815504,85,0.00036055208041024556,0.0007124385015445949
197,0.3787205289294688,COMPLETE,49,261,8,0.400829098341341,267,0.0005154005595937126,0.004589135476724734
198,0.3787205289294688,COMPLETE,125,114,7,0.20904702619261717,253,0.00026278155106886254,0.0017427625075205689
199,0.3787205289294688,COMPLETE,69,307,8,0.35233377273021743,122,0.0002821514109505775,0.00011948626786800564
