trial_number,value
0,0.07148833251848419
1,0.07259877767357124
2,0.07259877767357124
3,0.07259877767357124
4,0.07259877767357124
5,0.07259877767357124
6,0.07347507434231894
7,0.07347507434231894
8,0.07347507434231894
9,0.07347507434231894
10,0.07347507434231894
11,0.07347507434231894
12,0.07347507434231894
13,0.07347507434231894
14,0.07347507434231894
15,0.07347507434231894
16,0.07386213067677606
17,0.07386213067677606
18,0.07401388259240368
19,0.07401388259240368
20,0.07401388259240368
21,0.07401388259240368
22,0.07401388259240368
23,0.07401388259240368
24,0.07402668454145131
25,0.07402668454145131
26,0.07402668454145131
27,0.07449320912216122
28,0.07453603465345841
29,0.07453603465345841
30,0.07453603465345841
31,0.07453603465345841
32,0.07458683240001329
33,0.0747159893173201
34,0.0747159893173201
35,0.0748363085143216
36,0.0748363085143216
37,0.0748363085143216
38,0.07505957642629915
39,0.07505957642629915
40,0.07505957642629915
41,0.07505957642629915
42,0.07508556313220575
43,0.07523670823179422
44,0.07549921931728484
45,0.07554999502624155
46,0.07554999502624155
47,0.07554999502624155
48,0.07554999502624155
49,0.0755581289307947
50,0.0755581289307947
51,0.07556870276514098
52,0.07575519072787339
53,0.07575519072787339
54,0.07594341919588835
55,0.07594341919588835
56,0.07594341919588835
57,0.07598988378114872
58,0.07608627523678439
59,0.07608627523678439
60,0.07614252890678162
61,0.07614252890678162
62,0.07614864967058767
63,0.07619074420095077
64,0.07625619795951598
65,0.07625619795951598
66,0.07633012003742967
67,0.07651676724435569
68,0.07651676724435569
69,0.07651676724435569
70,0.07660519678629081
71,0.07660519678629081
72,0.07660584534148136
73,0.07665800349989466
74,0.07665800349989466
75,0.07673778587013315
76,0.07673778587013315
77,0.07676067287735734
78,0.0767873868128056
79,0.0767873868128056
80,0.0767873868128056
81,0.07686298828150519
82,0.07695180367691598
83,0.07695419410901373
84,0.07698808178803841
85,0.07698808178803841
86,0.0770246386344277
87,0.0770902237253326
88,0.07716074490016049
89,0.07716074490016049
90,0.07716074490016049
91,0.0771693723738346
92,0.0771693723738346
93,0.07724371164464389
94,0.07724371164464389
95,0.07724371164464389
96,0.07739796477842897
97,0.07745762988342554
98,0.07754747362549769
99,0.07755613340952686
100,0.07760470671194437
101,0.07760470671194437
102,0.07760470671194437
103,0.07760470671194437
104,0.07760470671194437
105,0.07768827323800623
106,0.07768827323800623
107,0.07768827323800623
108,0.07768827323800623
109,0.07773720207053433
110,0.07773720207053433
111,0.07773720207053433
112,0.07773823342573495
113,0.07773823342573495
114,0.07773823342573495
115,0.07773823342573495
116,0.07774682797775781
117,0.07780127977003641
118,0.07780127977003641
119,0.07784298587633588
120,0.07784298587633588
121,0.07786663883718951
122,0.07786663883718951
123,0.07786663883718951
124,0.07786663883718951
125,0.0779004942374931
126,0.0779004942374931
127,0.0779004942374931
128,0.0779004942374931
129,0.07796599143222771
130,0.07796599143222771
131,0.07801717146329094
132,0.07801717146329094
133,0.07801784411916193
134,0.07801784411916193
135,0.07801784411916193
136,0.07806443920209391
137,0.07806443920209391
138,0.07806443920209391
139,0.07814890539594924
140,0.07814890539594924
141,0.07814890539594924
142,0.07821206277332163
143,0.0783375957698533
144,0.07836751756419895
145,0.07836751756419895
146,0.07836751756419895
147,0.0784187039372268
148,0.0784187039372268
149,0.07842776632140466
150,0.07846882275070052
151,0.07846882275070052
152,0.07846882275070052
153,0.07855288151910189
154,0.07855288151910189
155,0.07855288151910189
156,0.07858621252359017
157,0.07874176879318392
158,0.07874176879318392
159,0.07874176879318392
160,0.07882316172122955
161,0.07882316172122955
162,0.07886366045849334
163,0.0789654424833873
164,0.0789654424833873
165,0.0789654424833873
166,0.0789654424833873
167,0.0789654424833873
168,0.07902842991988375
169,0.07902842991988375
170,0.07902842991988375
171,0.07916715866007526
172,0.07930141564601711
173,0.07930141564601711
174,0.07931841754201632
175,0.07931841754201632
176,0.07931841754201632
177,0.07931841754201632
178,0.07931841754201632
179,0.07944298964332026
180,0.07944298964332026
181,0.0794520874504193
182,0.0794520874504193
183,0.07958785673464891
184,0.07958785673464891
185,0.07963088338191693
186,0.0796967801933517
187,0.07972559443025878
188,0.0797551222340998
189,0.0797551222340998
190,0.0798184239027793
191,0.0798184239027793
192,0.08012122444260997
193,0.08012122444260997
194,0.08012122444260997
195,0.08030674651688786
196,0.08030674651688786
197,0.08033773944658391
198,0.08047356657521376
199,0.08047356657521376
200,0.08047356657521376
201,0.08055373031703736
202,0.08055373031703736
203,0.08076386413318924
204,0.08076386413318924
205,0.08092061243377492
206,0.08092061243377492
207,0.08092061243377492
208,0.08102629775409907
209,0.08108420114891202
210,0.08108420114891202
211,0.08114541666918983
212,0.08190501555364732
213,0.08769498557690587
214,0.08769498557690587
215,0.08769498557690587
216,0.08997546155128457
