epoch,train_loss,val_loss
1,0.666308,0.886144
2,0.213067,0.311803
3,0.155028,0.303968
4,0.128218,0.303061
5,0.104977,0.307662
6,0.084792,0.178841
7,0.069491,0.208999
8,0.063674,0.188217
9,0.056562,0.181209
10,0.054353,0.167280
11,0.050507,0.178077
12,0.046809,0.165864
13,0.044838,0.168669
14,0.042898,0.184207
15,0.040488,0.180101
16,0.039929,0.199050
17,0.038125,0.239499
18,0.036553,0.242352
19,0.034932,0.395224
20,0.034961,0.239445
21,0.033605,0.332243
22,0.032389,0.361289
23,0.031951,0.264132
24,0.031666,0.275829
25,0.030411,0.321669
26,0.030284,0.257338
27,0.030663,0.269374
28,0.029076,0.330972
29,0.029561,0.294776
30,0.028325,0.279107
31,0.028884,0.438661
32,0.028468,0.375468
33,0.028439,0.333846
34,0.027932,0.513905
35,0.027879,0.476528
36,0.028058,0.420513
37,0.027643,0.395791
38,0.026556,0.563514
39,0.027405,0.420756
40,0.027288,0.353485
41,0.026526,0.653545
42,0.027258,0.401313
43,0.026439,0.515133
44,0.025451,0.579569
45,0.026038,0.527666
46,0.026746,0.597594
47,0.026315,0.518785
48,0.025098,0.763835
49,0.025349,0.655860
50,0.025459,0.808881
51,0.024804,0.893975
52,0.024718,0.942222
53,0.025759,0.933465
54,0.024923,0.917397
55,0.024327,0.857607
56,0.024494,0.786497
57,0.024335,1.058783
58,0.023963,0.895575
59,0.023613,1.174596
60,0.024290,1.181550
61,0.023764,0.996966
62,0.024123,1.344979
63,0.024507,0.950628
64,0.023608,1.120291
65,0.023201,0.952585
66,0.023589,0.870286
67,0.023383,1.123908
68,0.024116,1.254149
69,0.024613,1.166508
70,0.023821,0.981612
71,0.022956,1.157635
72,0.022731,1.248011
73,0.023457,0.947042
74,0.023432,1.237327
75,0.022278,1.254295
76,0.022597,1.193099
77,0.022365,1.115916
78,0.021969,1.198635
79,0.022724,1.310729
80,0.022666,1.215413
